Source,Target,Type,Id,Tweet_type,Tweet_Sentiment_Group,Media_included,Source_device,Retweet_count,Like_count,Time,Weight
3627,2857,Directed,229,retweeted,Neutral,Yes,Android,195,0,2022-06-04 07:35:54+00:00,1
8892,2857,Directed,230,retweeted,Neutral,Yes,Web-App,195,0,2022-06-04 06:57:27+00:00,1
2902,2857,Directed,231,retweeted,Neutral,Yes,Web-App,195,0,2022-06-04 06:55:43+00:00,1
1148,2857,Directed,232,retweeted,Neutral,Yes,Android,195,0,2022-06-04 05:34:26+00:00,1
1297,2857,Directed,233,quoted,Neutral,Yes,Android,0,1,2022-06-04 05:12:53+00:00,1
2736,2857,Directed,234,retweeted,Neutral,Yes,Android,195,0,2022-06-04 05:12:14+00:00,1
6180,4360,Directed,235,retweeted,Neutral,Yes,Web-App,16,0,2022-06-04 04:58:55+00:00,1
1035,2857,Directed,236,retweeted,Neutral,Yes,Android,195,0,2022-06-04 04:58:31+00:00,1
5004,2857,Directed,237,retweeted,Neutral,Yes,Web-App,195,0,2022-06-04 04:33:39+00:00,1
10036,2857,Directed,238,retweeted,Neutral,Yes,Android,195,0,2022-06-04 04:09:23+00:00,1
11338,2857,Directed,239,retweeted,Neutral,Yes,Android,195,0,2022-06-04 04:00:10+00:00,1
8418,2857,Directed,240,retweeted,Neutral,Yes,Android,195,0,2022-06-04 03:58:18+00:00,1
5525,2857,Directed,241,retweeted,Neutral,Yes,Web-App,195,0,2022-06-04 03:49:00+00:00,1
8162,2857,Directed,242,retweeted,Neutral,Yes,Android,195,0,2022-06-04 03:39:13+00:00,1
11718,2857,Directed,243,retweeted,Neutral,Yes,Web-App,195,0,2022-06-04 03:37:16+00:00,1
4948,2857,Directed,244,retweeted,Neutral,Yes,Web-App,195,0,2022-06-04 03:29:53+00:00,1
7476,2857,Directed,245,retweeted,Neutral,Yes,Android,195,0,2022-06-04 03:14:19+00:00,1
3220,2857,Directed,246,retweeted,Neutral,Yes,Android,195,0,2022-06-04 03:11:05+00:00,1
407,2857,Directed,247,retweeted,Neutral,Yes,Web-App,195,0,2022-06-04 03:07:37+00:00,1
4830,2857,Directed,248,retweeted,Neutral,Yes,Web-App,195,0,2022-06-04 02:42:49+00:00,1
1971,2857,Directed,249,retweeted,Neutral,Yes,Android,195,0,2022-06-04 02:39:48+00:00,1
2750,2857,Directed,250,retweeted,Neutral,Yes,Android,195,0,2022-06-04 02:32:43+00:00,1
8033,2857,Directed,251,retweeted,Neutral,Yes,Web-App,195,0,2022-06-04 02:26:23+00:00,1
4450,2857,Directed,252,retweeted,Neutral,Yes,Android,195,0,2022-06-04 02:24:43+00:00,1
4118,2857,Directed,253,retweeted,Neutral,Yes,Web-App,195,0,2022-06-04 02:23:06+00:00,1
2791,2857,Directed,254,retweeted,Neutral,Yes,Android,195,0,2022-06-04 02:22:37+00:00,1
4440,2857,Directed,255,retweeted,Neutral,Yes,Android,195,0,2022-06-04 02:16:16+00:00,1
8874,2857,Directed,256,retweeted,Neutral,Yes,Android,195,0,2022-06-04 02:10:46+00:00,1
8957,2857,Directed,257,retweeted,Neutral,Yes,Android,195,0,2022-06-04 02:09:37+00:00,1
4478,4360,Directed,258,retweeted,Neutral,Yes,Android,16,0,2022-06-04 02:00:27+00:00,1
4709,2857,Directed,259,retweeted,Neutral,Yes,Android,195,0,2022-06-04 02:00:20+00:00,1
